Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsjö A;149560;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2021-01-31 23:59:59;309.576;64.9253;19.3744

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2001-11-01 00:00:01;2001-12-01 00:00:00;2001-11;-3.4;Y
2001-12-01 00:00:01;2002-01-01 00:00:00;2001-12;-9.9;Y
2002-01-01 00:00:01;2002-02-01 00:00:00;2002-01;-9.3;Y
2002-02-01 00:00:01;2002-03-01 00:00:00;2002-02;-5.3;Y
2002-03-01 00:00:01;2002-04-01 00:00:00;2002-03;-4.6;Y
2002-04-01 00:00:01;2002-05-01 00:00:00;2002-04;2.9;Y
2002-05-01 00:00:01;2002-06-01 00:00:00;2002-05;9.3;Y
2002-06-01 00:00:01;2002-07-01 00:00:00;2002-06;14.3;Y
2002-07-01 00:00:01;2002-08-01 00:00:00;2002-07;15.8;Y
2002-08-01 00:00:01;2002-09-01 00:00:00;2002-08;15.9;Y
2002-09-01 00:00:01;2002-10-01 00:00:00;2002-09;7.4;Y
2002-10-01 00:00:01;2002-11-01 00:00:00;2002-10;-1.7;Y
2002-11-01 00:00:01;2002-12-01 00:00:00;2002-11;-7.6;Y
2002-12-01 00:00:01;2003-01-01 00:00:00;2002-12;-11.6;Y
2003-01-01 00:00:01;2003-02-01 00:00:00;2003-01;-13.4;Y
2003-02-01 00:00:01;2003-03-01 00:00:00;2003-02;-5.8;Y
2003-03-01 00:00:01;2003-04-01 00:00:00;2003-03;-1.0;Y
2003-04-01 00:00:01;2003-05-01 00:00:00;2003-04;0.4;Y
2003-05-01 00:00:01;2003-06-01 00:00:00;2003-05;7.2;Y
2003-06-01 00:00:01;2003-07-01 00:00:00;2003-06;11.8;Y
2003-07-01 00:00:01;2003-08-01 00:00:00;2003-07;17.6;Y
2003-08-01 00:00:01;2003-09-01 00:00:00;2003-08;12.5;Y
2003-09-01 00:00:01;2003-10-01 00:00:00;2003-09;7.7;Y
2003-10-01 00:00:01;2003-11-01 00:00:00;2003-10;0.6;Y
2003-11-01 00:00:01;2003-12-01 00:00:00;2003-11;-4.3;Y
2003-12-01 00:00:01;2004-01-01 00:00:00;2003-12;-7.1;Y
2004-01-01 00:00:01;2004-02-01 00:00:00;2004-01;-10.9;Y
2004-02-01 00:00:01;2004-03-01 00:00:00;2004-02;-8.4;Y
2004-03-01 00:00:01;2004-04-01 00:00:00;2004-03;-4.1;Y
2004-04-01 00:00:01;2004-05-01 00:00:00;2004-04;2.2;Y
2004-05-01 00:00:01;2004-06-01 00:00:00;2004-05;6.7;Y
2004-06-01 00:00:01;2004-07-01 00:00:00;2004-06;10.4;Y
2004-07-01 00:00:01;2004-08-01 00:00:00;2004-07;13.9;Y
2004-08-01 00:00:01;2004-09-01 00:00:00;2004-08;12.9;Y
2004-09-01 00:00:01;2004-10-01 00:00:00;2004-09;8.0;Y
2004-10-01 00:00:01;2004-11-01 00:00:00;2004-10;1.0;Y
2004-11-01 00:00:01;2004-12-01 00:00:00;2004-11;-5.7;Y
