Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hällum A;83190;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2020-12-31 23:59:59;70.071;58.3218;13.0379

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2001-11-01 00:00:01;2001-12-01 00:00:00;2001-11;2.8;Y
2001-12-01 00:00:01;2002-01-01 00:00:00;2001-12;-2.9;Y
2002-01-01 00:00:01;2002-02-01 00:00:00;2002-01;0.7;Y
2002-02-01 00:00:01;2002-03-01 00:00:00;2002-02;2.5;Y
2002-03-01 00:00:01;2002-04-01 00:00:00;2002-03;2.5;Y
2002-04-01 00:00:01;2002-05-01 00:00:00;2002-04;6.8;Y
2002-05-01 00:00:01;2002-06-01 00:00:00;2002-05;12.3;Y
2002-06-01 00:00:01;2002-07-01 00:00:00;2002-06;15.1;Y
2002-07-01 00:00:01;2002-08-01 00:00:00;2002-07;17.1;Y
2002-08-01 00:00:01;2002-09-01 00:00:00;2002-08;19.1;Y
2002-09-01 00:00:01;2002-10-01 00:00:00;2002-09;12.5;Y
2002-10-01 00:00:01;2002-11-01 00:00:00;2002-10;3.8;Y
2002-11-01 00:00:01;2002-12-01 00:00:00;2002-11;0.7;Y
2002-12-01 00:00:01;2003-01-01 00:00:00;2002-12;-4.1;Y
2003-01-01 00:00:01;2003-02-01 00:00:00;2003-01;-3.5;Y
2003-02-01 00:00:01;2003-03-01 00:00:00;2003-02;-3.5;Y
2003-03-01 00:00:01;2003-04-01 00:00:00;2003-03;2.4;Y
2003-04-01 00:00:01;2003-05-01 00:00:00;2003-04;5.1;Y
2003-05-01 00:00:01;2003-06-01 00:00:00;2003-05;10.8;Y
2003-07-01 00:00:01;2003-08-01 00:00:00;2003-07;18.1;Y
2003-08-01 00:00:01;2003-09-01 00:00:00;2003-08;16.3;Y
2003-09-01 00:00:01;2003-10-01 00:00:00;2003-09;12.9;Y
2003-10-01 00:00:01;2003-11-01 00:00:00;2003-10;4.0;Y
2003-11-01 00:00:01;2003-12-01 00:00:00;2003-11;4.1;Y
2003-12-01 00:00:01;2004-01-01 00:00:00;2003-12;1.4;Y
2004-01-01 00:00:01;2004-02-01 00:00:00;2004-01;-4.0;Y
2004-02-01 00:00:01;2004-03-01 00:00:00;2004-02;-1.0;Y
2004-03-01 00:00:01;2004-04-01 00:00:00;2004-03;1.2;Y
2004-04-01 00:00:01;2004-05-01 00:00:00;2004-04;7.1;Y
2004-05-01 00:00:01;2004-06-01 00:00:00;2004-05;11.5;Y
2004-06-01 00:00:01;2004-07-01 00:00:00;2004-06;13.4;Y
2004-07-01 00:00:01;2004-08-01 00:00:00;2004-07;14.7;Y
2004-08-01 00:00:01;2004-09-01 00:00:00;2004-08;17.1;Y
2004-09-01 00:00:01;2004-10-01 00:00:00;2004-09;12.3;Y
2004-10-01 00:00:01;2004-11-01 00:00:00;2004-10;7.0;Y
2004-11-01 00:00:01;2004-12-01 00:00:00;2004-11;1.6;Y
2004-12-01 00:00:01;2005-01-01 00:00:00;2004-12;2.4;Y
2005-01-01 00:00:01;2005-02-01 00:00:00;2005-01;1.2;Y
2005-02-01 00:00:01;2005-03-01 00:00:00;2005-02;-1.7;Y
2005-03-01 00:00:01;2005-04-01 00:00:00;2005-03;-1.2;Y
2005-04-01 00:00:01;2005-05-01 00:00:00;2005-04;6.3;Y
2005-05-01 00:00:01;2005-06-01 00:00:00;2005-05;10.1;Y
2005-06-01 00:00:01;2005-07-01 00:00:00;2005-06;13.8;Y
2005-07-01 00:00:01;2005-08-01 00:00:00;2005-07;17.6;Y
2005-08-01 00:00:01;2005-09-01 00:00:00;2005-08;15.6;Y
2005-09-01 00:00:01;2005-10-01 00:00:00;2005-09;12.8;Y
2005-10-01 00:00:01;2005-11-01 00:00:00;2005-10;7.8;Y
2005-11-01 00:00:01;2005-12-01 00:00:00;2005-11;4.4;Y
2005-12-01 00:00:01;2006-01-01 00:00:00;2005-12;-0.1;Y
2006-01-01 00:00:01;2006-02-01 00:00:00;2006-01;-4.8;Y
2006-02-01 00:00:01;2006-03-01 00:00:00;2006-02;-4.1;Y
2006-03-01 00:00:01;2006-04-01 00:00:00;2006-03;-6.1;Y
2006-04-01 00:00:01;2006-05-01 00:00:00;2006-04;5.2;Y
2006-05-01 00:00:01;2006-06-01 00:00:00;2006-05;11.2;Y
2006-06-01 00:00:01;2006-07-01 00:00:00;2006-06;15.7;Y
2006-07-01 00:00:01;2006-08-01 00:00:00;2006-07;19.3;Y
2006-08-01 00:00:01;2006-09-01 00:00:00;2006-08;17.0;Y
2006-09-01 00:00:01;2006-10-01 00:00:00;2006-09;15.0;Y
2006-10-01 00:00:01;2006-11-01 00:00:00;2006-10;9.9;Y
2006-11-01 00:00:01;2006-12-01 00:00:00;2006-11;5.4;Y
2006-12-01 00:00:01;2007-01-01 00:00:00;2006-12;4.6;Y
2007-01-01 00:00:01;2007-02-01 00:00:00;2007-01;1.5;Y
2007-02-01 00:00:01;2007-03-01 00:00:00;2007-02;-1.6;Y
2007-03-01 00:00:01;2007-04-01 00:00:00;2007-03;4.3;Y
2007-04-01 00:00:01;2007-05-01 00:00:00;2007-04;7.8;Y
2007-05-01 00:00:01;2007-06-01 00:00:00;2007-05;10.6;Y
2007-06-01 00:00:01;2007-07-01 00:00:00;2007-06;15.6;Y
2007-07-01 00:00:01;2007-08-01 00:00:00;2007-07;15.4;Y
2007-08-01 00:00:01;2007-09-01 00:00:00;2007-08;15.8;Y
2007-09-01 00:00:01;2007-10-01 00:00:00;2007-09;11.5;Y
2007-10-01 00:00:01;2007-11-01 00:00:00;2007-10;6.3;Y
2007-11-01 00:00:01;2007-12-01 00:00:00;2007-11;2.6;Y
