Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Mora A;104580;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1946-07-01 00:00:01;1946-08-01 00:00:00;1946-07;16.9;G
1946-08-01 00:00:01;1946-09-01 00:00:00;1946-08;13.7;G
1946-09-01 00:00:01;1946-10-01 00:00:00;1946-09;10.5;G
1946-10-01 00:00:01;1946-11-01 00:00:00;1946-10;2.9;G
1946-11-01 00:00:01;1946-12-01 00:00:00;1946-11;0.5;G
1946-12-01 00:00:01;1947-01-01 00:00:00;1946-12;-3.1;G
1947-01-01 00:00:01;1947-02-01 00:00:00;1947-01;-5.0;G
1947-02-01 00:00:01;1947-03-01 00:00:00;1947-02;-16.5;G
1947-03-01 00:00:01;1947-04-01 00:00:00;1947-03;-7.2;G
1947-04-01 00:00:01;1947-05-01 00:00:00;1947-04;2.9;G
1947-05-01 00:00:01;1947-06-01 00:00:00;1947-05;12.1;G
1947-06-01 00:00:01;1947-07-01 00:00:00;1947-06;15.8;G
1947-07-01 00:00:01;1947-08-01 00:00:00;1947-07;16.5;G
1947-08-01 00:00:01;1947-09-01 00:00:00;1947-08;16.8;G
1947-09-01 00:00:01;1947-10-01 00:00:00;1947-09;12.0;G
1947-10-01 00:00:01;1947-11-01 00:00:00;1947-10;3.7;G
1947-11-01 00:00:01;1947-12-01 00:00:00;1947-11;-3.4;G
1947-12-01 00:00:01;1948-01-01 00:00:00;1947-12;-7.5;G
1948-01-01 00:00:01;1948-02-01 00:00:00;1948-01;-13.1;G
1948-02-01 00:00:01;1948-03-01 00:00:00;1948-02;-8.1;G
1948-03-01 00:00:01;1948-04-01 00:00:00;1948-03;-0.7;G
1948-04-01 00:00:01;1948-05-01 00:00:00;1948-04;5.2;G
1948-05-01 00:00:01;1948-06-01 00:00:00;1948-05;9.8;G
1948-06-01 00:00:01;1948-07-01 00:00:00;1948-06;13.2;G
1948-07-01 00:00:01;1948-08-01 00:00:00;1948-07;16.8;G
1948-08-01 00:00:01;1948-09-01 00:00:00;1948-08;13.2;G
1948-09-01 00:00:01;1948-10-01 00:00:00;1948-09;10.1;G
1948-10-01 00:00:01;1948-11-01 00:00:00;1948-10;2.8;G
1948-11-01 00:00:01;1948-12-01 00:00:00;1948-11;-1.0;G
1948-12-01 00:00:01;1949-01-01 00:00:00;1948-12;0.1;G
1949-01-01 00:00:01;1949-02-01 00:00:00;1949-01;-2.5;Y
1949-02-01 00:00:01;1949-03-01 00:00:00;1949-02;-1.4;Y
1949-03-01 00:00:01;1949-04-01 00:00:00;1949-03;-2.0;Y
1949-04-01 00:00:01;1949-05-01 00:00:00;1949-04;4.7;G
1949-05-01 00:00:01;1949-06-01 00:00:00;1949-05;11.2;G
1949-06-01 00:00:01;1949-07-01 00:00:00;1949-06;12.7;G
1949-07-01 00:00:01;1949-08-01 00:00:00;1949-07;15.2;G
1949-08-01 00:00:01;1949-09-01 00:00:00;1949-08;13.3;G
1949-09-01 00:00:01;1949-10-01 00:00:00;1949-09;13.0;G
1949-10-01 00:00:01;1949-11-01 00:00:00;1949-10;4.8;Y
1949-11-01 00:00:01;1949-12-01 00:00:00;1949-11;1.1;Y
1949-12-01 00:00:01;1950-01-01 00:00:00;1949-12;-4.7;Y
1950-01-01 00:00:01;1950-02-01 00:00:00;1950-01;-10.1;Y
1950-02-01 00:00:01;1950-03-01 00:00:00;1950-02;-5.2;Y
1950-03-01 00:00:01;1950-04-01 00:00:00;1950-03;-0.6;Y
1950-04-01 00:00:01;1950-05-01 00:00:00;1950-04;3.9;G
1950-05-01 00:00:01;1950-06-01 00:00:00;1950-05;9.7;G
1950-06-01 00:00:01;1950-07-01 00:00:00;1950-06;14.0;G
1950-07-01 00:00:01;1950-08-01 00:00:00;1950-07;14.7;G
1950-08-01 00:00:01;1950-09-01 00:00:00;1950-08;15.1;G
1950-09-01 00:00:01;1950-10-01 00:00:00;1950-09;9.4;G
1950-10-01 00:00:01;1950-11-01 00:00:00;1950-10;5.5;G
1950-11-01 00:00:01;1950-12-01 00:00:00;1950-11;-2.6;Y
1950-12-01 00:00:01;1951-01-01 00:00:00;1950-12;-7.5;Y
1951-01-01 00:00:01;1951-02-01 00:00:00;1951-01;-10.4;Y
1951-02-01 00:00:01;1951-03-01 00:00:00;1951-02;-4.7;Y
1951-03-01 00:00:01;1951-04-01 00:00:00;1951-03;-7.0;Y
1951-04-01 00:00:01;1951-05-01 00:00:00;1951-04;2.4;Y
1951-05-01 00:00:01;1951-06-01 00:00:00;1951-05;6.9;Y
1951-06-01 00:00:01;1951-07-01 00:00:00;1951-06;12.5;Y
1951-07-01 00:00:01;1951-08-01 00:00:00;1951-07;14.4;Y
1951-08-01 00:00:01;1951-09-01 00:00:00;1951-08;15.1;Y
1951-09-01 00:00:01;1951-10-01 00:00:00;1951-09;10.9;Y
1951-10-01 00:00:01;1951-11-01 00:00:00;1951-10;5.7;Y
1951-11-01 00:00:01;1951-12-01 00:00:00;1951-11;1.4;Y
1951-12-01 00:00:01;1952-01-01 00:00:00;1951-12;-1.5;G
1952-01-01 00:00:01;1952-02-01 00:00:00;1952-01;-6.5;G
1952-02-01 00:00:01;1952-03-01 00:00:00;1952-02;-4.8;G
1952-03-01 00:00:01;1952-04-01 00:00:00;1952-03;-5.0;G
1952-04-01 00:00:01;1952-05-01 00:00:00;1952-04;5.8;G
1952-05-01 00:00:01;1952-06-01 00:00:00;1952-05;8.0;G
1952-06-01 00:00:01;1952-07-01 00:00:00;1952-06;11.5;G
1952-07-01 00:00:01;1952-08-01 00:00:00;1952-07;14.5;G
1952-08-01 00:00:01;1952-09-01 00:00:00;1952-08;12.2;Y
1952-09-01 00:00:01;1952-10-01 00:00:00;1952-09;6.4;Y
1952-10-01 00:00:01;1952-11-01 00:00:00;1952-10;2.2;Y
1952-11-01 00:00:01;1952-12-01 00:00:00;1952-11;-5.0;Y
1952-12-01 00:00:01;1953-01-01 00:00:00;1952-12;-7.9;Y
1953-01-01 00:00:01;1953-02-01 00:00:00;1953-01;-10.6;Y
1953-02-01 00:00:01;1953-03-01 00:00:00;1953-02;-9.2;Y
1953-03-01 00:00:01;1953-04-01 00:00:00;1953-03;1.4;Y
1953-04-01 00:00:01;1953-05-01 00:00:00;1953-04;4.2;Y
1953-05-01 00:00:01;1953-06-01 00:00:00;1953-05;9.2;Y
1953-06-01 00:00:01;1953-07-01 00:00:00;1953-06;16.3;Y
1953-07-01 00:00:01;1953-08-01 00:00:00;1953-07;14.7;Y
1953-08-01 00:00:01;1953-09-01 00:00:00;1953-08;13.5;Y
1953-09-01 00:00:01;1953-10-01 00:00:00;1953-09;8.5;Y
1953-10-01 00:00:01;1953-11-01 00:00:00;1953-10;7.2;Y
1953-11-01 00:00:01;1953-12-01 00:00:00;1953-11;1.7;Y
1953-12-01 00:00:01;1954-01-01 00:00:00;1953-12;-1.9;Y
1954-01-01 00:00:01;1954-02-01 00:00:00;1954-01;-9.7;Y
1954-02-01 00:00:01;1954-03-01 00:00:00;1954-02;-12.7;Y
1954-03-01 00:00:01;1954-04-01 00:00:00;1954-03;-0.8;Y
1954-04-01 00:00:01;1954-05-01 00:00:00;1954-04;2.2;Y
1954-05-01 00:00:01;1954-06-01 00:00:00;1954-05;10.2;Y
1954-06-01 00:00:01;1954-07-01 00:00:00;1954-06;12.8;Y
1954-07-01 00:00:01;1954-08-01 00:00:00;1954-07;14.6;Y
1954-08-01 00:00:01;1954-09-01 00:00:00;1954-08;13.0;Y
1954-09-01 00:00:01;1954-10-01 00:00:00;1954-09;8.6;Y
1954-10-01 00:00:01;1954-11-01 00:00:00;1954-10;3.3;Y
1954-11-01 00:00:01;1954-12-01 00:00:00;1954-11;-1.6;Y
1954-12-01 00:00:01;1955-01-01 00:00:00;1954-12;-1.9;Y
1955-01-01 00:00:01;1955-02-01 00:00:00;1955-01;-8.0;Y
1955-02-01 00:00:01;1955-03-01 00:00:00;1955-02;-10.7;Y
1955-03-01 00:00:01;1955-04-01 00:00:00;1955-03;-4.8;Y
1955-04-01 00:00:01;1955-05-01 00:00:00;1955-04;1.1;Y
1955-05-01 00:00:01;1955-06-01 00:00:00;1955-05;5.8;Y
1955-06-01 00:00:01;1955-07-01 00:00:00;1955-06;11.6;Y
1955-07-01 00:00:01;1955-08-01 00:00:00;1955-07;17.8;G
1955-08-01 00:00:01;1955-09-01 00:00:00;1955-08;15.7;Y
1955-09-01 00:00:01;1955-10-01 00:00:00;1955-09;10.3;Y
1955-10-01 00:00:01;1955-11-01 00:00:00;1955-10;3.2;Y
1955-11-01 00:00:01;1955-12-01 00:00:00;1955-11;-0.3;Y
1955-12-01 00:00:01;1956-01-01 00:00:00;1955-12;-11.0;Y
1956-01-01 00:00:01;1956-02-01 00:00:00;1956-01;-10.5;Y
1956-02-01 00:00:01;1956-03-01 00:00:00;1956-02;-11.9;Y
1956-03-01 00:00:01;1956-04-01 00:00:00;1956-03;-5.0;Y
1956-04-01 00:00:01;1956-05-01 00:00:00;1956-04;1.0;Y
1956-05-01 00:00:01;1956-06-01 00:00:00;1956-05;9.2;Y
1956-06-01 00:00:01;1956-07-01 00:00:00;1956-06;12.4;Y
1956-07-01 00:00:01;1956-08-01 00:00:00;1956-07;14.6;Y
1956-08-01 00:00:01;1956-09-01 00:00:00;1956-08;11.0;G
1956-09-01 00:00:01;1956-10-01 00:00:00;1956-09;8.6;Y
1956-10-01 00:00:01;1956-11-01 00:00:00;1956-10;3.4;Y
1956-11-01 00:00:01;1956-12-01 00:00:00;1956-11;-5.1;Y
1956-12-01 00:00:01;1957-01-01 00:00:00;1956-12;-4.8;Y
1957-01-01 00:00:01;1957-02-01 00:00:00;1957-01;-3.6;Y
1957-02-01 00:00:01;1957-03-01 00:00:00;1957-02;-5.7;Y
1957-03-01 00:00:01;1957-04-01 00:00:00;1957-03;-4.0;Y
1957-04-01 00:00:01;1957-05-01 00:00:00;1957-04;2.3;Y
1957-05-01 00:00:01;1957-06-01 00:00:00;1957-05;7.9;Y
1957-06-01 00:00:01;1957-07-01 00:00:00;1957-06;11.5;Y
1957-07-01 00:00:01;1957-08-01 00:00:00;1957-07;15.5;G
1957-08-01 00:00:01;1957-09-01 00:00:00;1957-08;13.2;Y
1957-09-01 00:00:01;1957-10-01 00:00:00;1957-09;7.7;Y
1957-10-01 00:00:01;1957-11-01 00:00:00;1957-10;4.2;Y
1957-11-01 00:00:01;1957-12-01 00:00:00;1957-11;-1.4;Y
1957-12-01 00:00:01;1958-01-01 00:00:00;1957-12;-4.9;Y
1958-01-01 00:00:01;1958-02-01 00:00:00;1958-01;-9.2;Y
1958-02-01 00:00:01;1958-03-01 00:00:00;1958-02;-13.1;Y
1958-03-01 00:00:01;1958-04-01 00:00:00;1958-03;-8.0;Y
1958-04-01 00:00:01;1958-05-01 00:00:00;1958-04;1.7;Y
1958-05-01 00:00:01;1958-06-01 00:00:00;1958-05;7.7;Y
1958-06-01 00:00:01;1958-07-01 00:00:00;1958-06;12.9;Y
1958-07-01 00:00:01;1958-08-01 00:00:00;1958-07;14.6;Y
1958-08-01 00:00:01;1958-09-01 00:00:00;1958-08;13.0;G
1958-09-01 00:00:01;1958-10-01 00:00:00;1958-09;10.5;Y
1958-10-01 00:00:01;1958-11-01 00:00:00;1958-10;6.6;Y
1958-11-01 00:00:01;1958-12-01 00:00:00;1958-11;0.1;Y
1958-12-01 00:00:01;1959-01-01 00:00:00;1958-12;-7.9;Y
1959-01-01 00:00:01;1959-02-01 00:00:00;1959-01;-13.1;Y
1959-02-01 00:00:01;1959-03-01 00:00:00;1959-02;-7.2;Y
